Date,Open,High,Low,Close,Adj Close,Volume,percentage change
2020-05-06,155.300003,157.960007,152.222000,156.516006,156.516006,55616000,0.7830025605344003
2020-05-07,155.442001,159.279999,154.470001,156.007996,156.007996,57638500,0.3641197336362047
2020-05-08,158.753998,164.800003,157.401993,163.884003,163.884003,80432500,3.2314178317575415
2020-05-11,158.102005,164.800003,157.000000,162.257996,162.257996,82598000,2.628676973451412
2020-05-12,165.399994,168.658005,161.600006,161.882004,161.882004,79534500,-2.126958964702258
2020-05-13,164.166000,165.199997,152.660004,158.192001,158.192001,95327500,-3.6389989400972143
2020-05-14,156.000000,160.671997,152.800003,160.666000,160.666000,68411000,2.9910256410256393
2020-05-15,158.070007,161.009995,157.309998,159.834000,159.834000,52592000,1.115956805138877
2020-05-18,165.556000,166.944000,160.776001,162.725998,162.725998,58329000,-1.709392592234656
2020-05-19,163.033997,164.414001,161.216003,161.602005,161.602005,48182500,-0.8783395036312629
2020-05-20,164.100006,165.199997,162.360001,163.112000,163.112000,36546500,-0.6020755416669593
2020-05-21,163.199997,166.500000,159.199997,165.520004,165.520004,61273000,1.4215729427985246
2020-05-22,164.434006,166.356003,162.399994,163.376007,163.376007,49937500,-0.6434186125709446
2020-05-26,166.899994,166.919998,163.141998,163.774002,163.774002,40448500,-1.872973105079918
2020-05-27,164.171997,165.542007,157.000000,164.046005,164.046005,57747500,-0.07674390413853377
2020-05-28,162.701996,164.949997,160.337997,161.162003,161.162003,36278000,-0.9465114367742664
2020-05-29,161.750000,167.000000,160.841995,167.000000,167.000000,58822500,3.2457496136012365
2020-06-01,171.600006,179.800003,170.820007,179.619995,179.619995,74697500,4.673653099988808
2020-06-02,178.940002,181.731995,174.199997,176.311996,176.311996,67828000,-1.4686520457287127
2020-06-03,177.623993,179.587997,176.020004,176.591995,176.591995,39747500,-0.5810014641434256
2020-06-04,177.975998,179.149994,171.688004,172.876007,172.876007,44438500,-2.8655498816194402
2020-06-05,175.567993,177.304001,173.240005,177.132004,177.132004,39059500,0.8908292299041054
2020-06-08,183.800003,190.000000,181.832001,189.983994,189.983994,70873500,3.364521707869608
2020-06-09,188.001999,190.888000,184.785995,188.134003,188.134003,56941000,0.0702141470314871
2020-06-10,198.376007,205.496002,196.500000,205.009995,205.009995,92817000,3.344148367700544
2020-06-11,198.039993,203.792007,194.399994,194.567993,194.567993,79582500,-1.7531812374887372
2020-06-12,196.000000,197.595993,182.520004,187.056000,187.056000,83817000,-4.563265306122443
2020-06-15,183.557999,199.768005,181.699997,198.179993,198.179993,78486000,7.965871321140301
2020-06-16,202.369995,202.576004,192.477997,196.425995,196.425995,70255500,-2.937194320729211
2020-06-17,197.542007,201.000000,196.514008,198.358002,198.358002,49454000,0.4130741670555097
2020-06-18,200.600006,203.839996,198.893997,200.792007,200.792007,48759500,0.09571335705742938
2020-06-19,202.556000,203.194000,198.268005,200.179993,200.179993,43398500,-1.1730124015087262
2020-06-22,199.990005,201.776001,198.003998,198.863998,198.863998,31812000,-0.5630316375060779
2020-06-23,199.776001,202.399994,198.802002,200.356003,200.356003,31826500,0.29032616385187276
2020-06-24,198.822006,200.175995,190.628006,192.169998,192.169998,54798000,-3.3457101323079876
2020-06-25,190.854004,197.195999,187.429993,197.195999,197.195999,46272500,3.3229562215524684
2020-06-26,198.955994,199.000000,190.973999,191.947998,191.947998,44274500,-3.5223849551373614
2020-06-29,193.802002,202.000000,189.703995,201.869995,201.869995,45132000,4.163008078729756
2020-06-30,201.300003,217.537994,200.746002,215.962006,215.962006,84592500,7.283657616239577
2020-07-01,216.600006,227.065994,216.100006,223.925995,223.925995,66634500,3.382266295966766
2020-07-02,244.296005,245.600006,237.119995,241.731995,241.731995,86250500,-1.049550523759075
2020-07-06,255.337997,275.558014,253.207993,274.316010,274.316010,102849500,7.432506412275179
2020-07-07,281.002014,285.899994,267.342010,277.971985,277.971985,107448500,-1.0782944068151614
2020-07-08,281.000000,283.451996,262.268005,273.175995,273.175995,81556500,-2.7843434163701066
2020-07-09,279.398010,281.712006,270.256012,278.855988,278.855988,58588000,-0.19399637098344918
2020-07-10,279.200012,309.783997,275.201996,308.929993,308.929993,116688000,10.648273539472488
2020-07-13,331.799988,358.997986,294.221985,299.411987,299.411987,194927000,-9.761302643567298
2020-07-14,311.200012,318.000000,286.200012,303.359985,303.359985,117090500,-2.5192887846032668
2020-07-15,308.600006,310.000000,291.399994,309.201996,309.201996,81839000,0.19507128590269718
2020-07-16,295.432007,306.342010,293.200012,300.127991,300.127991,71504000,1.589531225030743
2020-07-17,302.690002,307.502014,298.000000,300.167999,300.167999,46650000,-0.8331966643549673
2020-07-20,303.802002,330.000000,297.600006,328.600006,328.600006,85607000,8.162554504825149
2020-07-21,327.985992,335.000000,311.600006,313.671997,313.671997,80536000,-4.364209249521862
2020-07-22,319.799988,325.283997,312.399994,318.466003,318.466003,70805500,-0.41713103503930843
